country,four_regions,eight_regions,six_regions,Latitude,Longitude
United Arab Emirates,asia,asia_west,middle_east_north_africa,23.75,54.5
United Kingdom,europe,europe_west,europe_central_asia,54.75844,-2.69531
United States,americas,america_north,america,39.76,-98.5
Uruguay,americas,america_south,america,-33.0,-56.0
Uzbekistan,asia,asia_west,europe_central_asia,41.66667,63.83333
Vanuatu,asia,east_asia_pacific,east_asia_pacific,-16.0,167.0
Venezuela,americas,america_south,america,8.0,-66.0
Palestine,asia,asia_west,middle_east_north_africa,31.92157000000001,35.20329
Vietnam,asia,east_asia_pacific,east_asia_pacific,16.16667,107.83333
Yemen,asia,asia_west,middle_east_north_africa,15.5,47.5
Zambia,africa,africa_sub_saharan,sub_saharan_africa,-14.333329999999998,28.5
Zimbabwe,africa,africa_sub_saharan,sub_saharan_africa,-19.0,29.75
South Sudan,africa,africa_sub_saharan,sub_saharan_africa,7.5,30.0
